Numero de Poblacion;Minimo;Promedio;Maximo;Cromosoma del maximo
Inicial;1,25599952742753E-07;0,367185707180958;0,826173508960595;111010001011000001011001010101
1;0,00190291830758732;0,453196731706028;0,826190500340271;111010001011000011110110001001
2;0,0888531179780554;0,558874696992687;0,826190500340271;111010001011000011110110001001
3;0,00572391286472603;0,506266975963395;0,826190500340271;111010001011000011110110001001
4;0,00599287685788386;0,584277635299559;0,826190500340271;111010001011000011110110001001
5;0,826172642127257;0,84073071567324;0,971644768916522;111111000101100000101100100101
6;0,00189641865885242;0,563590688356914;0,971644776260712;111111000101100000101100101001
7;0,0616107132273274;0,687422105822247;0,971644776260712;111111000101100000101100101001
8;0,146315495550494;0,81513845562514;0,971644776260712;111111000101100000101100101001
9;0,000474089415353953;0,704818055283417;0,97176510718767;111111000101110000101100101001
10;0,477834917279403;0,89299807666814;0,97176510718767;111111000101110000101100101001
11;0,0268982825572483;0,799381159795441;0,97176510718767;111111000101110000101100101001
12;0,129640608955171;0,814973815318606;0,97176510718767;111111000101110000101100101001
13;0,0324101522387927;0,793581062591445;0,97176510718767;111111000101110000101100101001
14;0,0268982043526928;0,869020466512312;0,971825275445117;111111000101111000101100101001
15;0,0304284780405879;0,794526292301229;0,971825275445117;111111000101111000101100101001
16;0,00190177995876558;0,837357792362517;0,971825275445117;111111000101111000101100101001
17;0,000475444969384185;0,787105645960776;0,971825275445117;111111000101111000101100101001
18;0,272789959403695;0,806913566206356;0,971825275445117;111111000101111000101100101001
19;0,0268182996830463;0,660537333818926;0,971825275445117;111111000101111000101100101001
20;0,0973787417701126;0,753567985084249;0,971825275445117;111111000101111000101100101001
